filename,a,b,mae,Temperature,SOC,Cell_type,Chemistry
C00121_sum.json,0.14807641137100347,0.7094639709046101,0.12416178970467631,24,50,K2 Energy LFP18650P,LFP
C00206_sum.json,0.18167975989200508,0.7225853246340141,0.1731875397498561,24,50,K2 Energy LFP18650E,LFP
C00207_sum.json,0.1696016177995716,0.7377348578084808,0.1988919346960232,24,50,K2 Energy LFP18650E,LFP
C00085_sum.json,0.6921777042030212,0.48273225669891107,0.20989380847006722,24,50,Ultralife 502030,LCO
C00084_sum.json,0.7731140490138851,0.4809331891933782,0.20423469194491387,24,50,Ultralife 502030,LCO
C00017_sum.json,1.1612659880349638,0.8017345663710226,0.10328214049824345,60,50,Panasonic NCR18650GA,NCA
C00016_sum.json,1.1371746634975335,0.8088568272453172,0.0888277683759008,60,50,Panasonic NCR18650GA,NCA
C00238_sum.json,5.126957293823523,0.5782350054345802,4.736951571734001e-15,85,50,K2 Energy LFP18650E,LFP
C00239_sum.json,4.770881418643626,0.6042314152770718,0.0,85,50,K2 Energy LFP18650E,LFP
C00023_sum.json,0.839711759467358,1.1009430850677777,0.13781165956216293,60,100,Panasonic NCR18650GA,NCA
C00022_sum.json,1.0294138079386967,0.9891431685141354,0.12658861790752546,60,100,Panasonic NCR18650GA,NCA
C00244_sum.json,5.2862626973997635,0.5964214565376569,0.0,85,100,K2 Energy LFP18650E,LFP
C00054_sum.json,0.673141346801664,0.6943077731370345,0.22824592375726382,60,50,Panasonic NCR18650B,NCA
C00232_sum.json,1.3893677581323003,0.6664075026979195,0.04898180725090384,60,100,K2 Energy LFP18650E,LFP
C00233_sum.json,1.2651365126128886,0.6851276735585745,0.10277412705708468,60,100,K2 Energy LFP18650E,LFP
C00055_sum.json,0.6084819119263329,0.7267444953007658,0.21078954109217193,60,50,Panasonic NCR18650B,NCA
C00114_sum.json,2.239298834693386,0.75836471449764,0.10516655741390224,60,100,Sony-Murata US18650VTC6,NMC
C00211_sum.json,0.2974346281077087,0.6754529213525942,0.17286888872371975,24,100,K2 Energy LFP18650E,LFP
C00210_sum.json,0.22442449613174562,0.7268932264012399,0.15174656343398624,24,100,K2 Energy LFP18650E,LFP
C00076_sum.json,1.6202828177356423,0.9783191759597587,0.05279327679188839,60,100,Ultralife UBP001,LCO
C00136_sum.json,0.7534842281003663,0.6605051487438898,0.11058292356703817,45,100,K2 Energy LFP18650P,LFP
C00137_sum.json,0.7285459707286397,0.6425176120723873,0.10555932227744237,45,100,K2 Energy LFP18650P,LFP
C00049_sum.json,0.7300124704564609,0.5792742934538154,0.31598582361092975,45,50,Panasonic NCR18650B,NCA
C00048_sum.json,0.9821053408697367,0.5307973392058933,0.3453412814786175,45,50,Panasonic NCR18650B,NCA
C00141_sum.json,1.0670918716685966,0.6264373746820792,0.07902562039794485,60,50,K2 Energy LFP18650P,LFP
C00140_sum.json,0.7825413981406526,0.6265088811949667,0.12017603406454508,45,100,K2 Energy LFP18650P,LFP
C00001_sum.json,0.11576440979254676,0.7649917366189636,0.14134242783085446,24,50,Panasonic NCR18650GA,NCA
C00092_sum.json,0.353572839615758,0.5845533171413521,0.1180675484037496,24,50,Ultralife 502030,LCO
C00093_sum.json,0.2711348339631515,0.5985302390501837,0.16962151940169967,24,50,Ultralife 502030,LCO
C00108_sum.json,0.49872453687201507,0.8788425452983438,0.16966211096398962,24,100,Sony-Murata US18650VTC6,NMC
C00109_sum.json,2.298200126808581,0.7112193905853594,0.0,60,100,Sony-Murata US18650VTC6,NMC
C00175_sum.json,0.01720158888126311,0.961512294772188,0.18247885326673347,24,100,Tenergy 302030,LCO
C00174_sum.json,0.028899013029107225,0.8416296721935594,0.10937308663035868,24,100,Tenergy 302030,LCO
C00102_sum.json,0.3403354617169611,0.6726267231783872,0.20080390447261606,24,100,Ultralife 502030,LCO
C00103_sum.json,0.3479324474258373,0.979961364186475,0.2976059726240858,24,100,Sony-Murata US18650VTC6,NMC
C00098_sum.json,0.34962229149693014,0.6119230341060378,0.21941786607944128,24,100,Ultralife 502030,LCO
C00099_sum.json,0.3418928056246955,0.6418996797215311,0.26232973613372224,24,100,Ultralife 502030,LCO
C00190_sum.json,0.019230017356903772,0.8967809193099443,0.10674227793844325,24,50,Tenergy 302030,LCO
C00191_sum.json,0.026305879347486325,0.8296916190091207,0.07212994298545614,24,50,Tenergy 302030,LCO
C00043_sum.json,0.583369676901782,0.60161639042704,0.28166134043190694,24,100,Panasonic NCR18650B,NCA
C00225_sum.json,0.8470966332295851,0.7455758685404822,0.04956863143675605,60,50,K2 Energy LFP18650E,LFP
C00224_sum.json,0.9250858853288612,0.6305743279553533,0.07621839495655129,45,100,K2 Energy LFP18650E,LFP
C00042_sum.json,0.5996980351258462,0.6031726134268676,0.2595731057837259,24,100,Panasonic NCR18650B,NCA
C00178_sum.json,0.23835954176801663,1.2206220100518894,0.5055377115997371,60,100,Tenergy 302030,LCO
C00179_sum.json,0.20723407252452544,1.1517521742531511,0.38143771530496096,60,100,Tenergy 302030,LCO
C00216_sum.json,0.5098919569242639,0.7197464406039336,0.04130277460322203,45,50,K2 Energy LFP18650E,LFP
C00070_sum.json,0.12538049389934258,1.183225647288527,0.1791985366578675,24,100,Ultralife UBP001,LCO
C00071_sum.json,2.0856445444152882,0.9224042828074817,0.00626590452664999,60,100,Ultralife UBP001,LCO
C00217_sum.json,0.4792811084556682,0.7335937228175369,0.042208564173025584,45,50,K2 Energy LFP18650E,LFP
C00131_sum.json,0.3844486167776901,0.7066798984323804,0.1564729767136569,45,50,K2 Energy LFP18650P,LFP
